Year ,dm_Gtyr,dm_Gtyr_uncert_1SD
1993,-12.68520311,60
1994,-56.5779344,60
1995,-75.51198544,60
1996,-75.53917051,60
1997,-41.53274213,60
1998,-20.38275956,60
1999,-49.14944042,60
2000,-37.83208767,60
2001,-38.61557526,60
2002,-67.38225613,60
2003,-72.7042559,60
2004,-74.99965147,60
2005,-53.09406343,60
2006,-50.09603842,60
2007,-84.15613988,60
2008,-116.7043333,60
2009,-146.2266197,60
2010,-180.2874182,60
2011,-178.0456957,60
2012,-161.4342253,60
2013,-173.5615537,60
2014,-175.1020408,60
2015,-160.0017814,60
2016,-125.2397475,60
